"sale","lot","position","dealer","year","origin_author","origin_cat","school_pntg","diff_origin","logprice","price","count","subject","authorstandard","artistliving","authorstyle","author","winningbidder","winningbiddertype","endbuyer","Interm","type_intermed","Height_in","Width_in","Surface_Rect","Diam_in","Surface_Rnd","Shape","Surface","material","mat","materialCat","nfigures","engraved","original","prevcoll","othartist","paired","figures","finished","lrgfont","relig","landsALL","lands_sc","lands_elem","lands_figs","lands_ment","arch","mytho","peasant","othgenre","singlefig","portrait","still_life","discauth","history","allegory","pastorale","other"
"P1780",102,0.76119403,"P",1780,"X","X","F",1,3.044522438,"21.0",1,"Femme occupée à la Pêche","in the genre of Boucher (F), François",0,"in the genre of","dans le genre de M. Boucher","Saint-Ange, de","U","U",0,"",18,15,270,NA,NA,"squ_rect",270,"tableau","ta","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"R1777",193,0.814345992,"R",1777,"F","F","F",0,6.476972363,"650.0",1,"Psyché et l'Amour PENDANTS","Boucher (F), François",0,"n/a","François Boucher","Quenet for Rousseau de la Goypiere","DC","C",1,"D",NA,NA,NA,9.25,67.1665625,"round",67.1665625,"rond","","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"R1767",75,0.235849057,"R",1767,"I","I","I",0,5.743003188,"312.0",1,"Cinq Bergers qui viennent adorer l'Enfant Jesus, tenu par la Vierge, dans un linge sur de la paille ; quatre Anges sont dans un nuage, l'un d'eux a un encensoir.","Castiglione (Il Grechetto), Giovanni Benedetto",0,"n/a","Benedetto Castiglione Genovese, appellé Le Benedette","Ravanne, Miotte de","C","C",0,"",25,19.5,487.5,NA,NA,"squ_rect",487.5,"toile","t","canvas",5,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"J1768",27,0.262135922,"J",1768,"D/FL","D/FL","D/FL",0,4.290459441,"73.0",1,"L'Entrée d'un bois épais","Keirinckx, Alexander; Breughel I the Elder (J), Jan",0,"n/a","Keirins & Breughel de Velours","Unknown","","",NA,"",12,10,120,NA,NA,"squ_rect",120,"bois","b","wood",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"J1768",63,0.611650485,"J",1768,"X","X","D/FL",1,2.197224577,"9.0",1,"(2) Cavalier passant; Batalier qui aborde au rivage","in the taste Flemish",0,"in the taste","dans le gout Flamand","Chiquet de Champs-Renard","C","C",0,"",24,30,720,NA,NA,"squ_rect",720,"toile","t","canvas",0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"R1767",13,0.040880503,"R",1767,"I","I","I",0,6.364750757,"581.0",1,"Une Fuite en Egypte","Mola (PF), Pier Francesco",0,"n/a","Pierre François Mola, dit le Mole","Basan, Pierre-François","D","D",0,"",18,24,432,NA,NA,"squ_rect",432,"toile","t","canvas",0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1777",196,0.827004219,"R",1777,"F","F","F",0,6.43775165,"625.0",1,"Figure de femme PENDANTS","Boucher (F), François",0,"n/a","François Boucher","Dubois","D","D",0,"",19,15,285,NA,NA,"squ_rect",285,"toile ovale","t","canvas",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"R1776",263,0.794561934,"R",1776,"F","F","F",0,4.382026635,"80.0",1,"(2) Vases à anses avec fleurs","Prévost the Younger, Jean Louis",1,"n/a","M. Prevost le jeune","Colignon","D","D",0,"",8.75,7,61.25,NA,NA,"squ_rect",61.25,"toile","t","canvas",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"J1777b",4,0.137931034,"J",1777,"I","I","I",0,2.708050201,"15.0",1,"(2) Vue des environs de Rome; vue des environs de Rome","Ricci (M), Marco",0,"n/a","Marco Ricci","Neuilly, de","U","U",0,"",12.5,15,187.5,NA,NA,"squ_rect",187.5,"toile","t","canvas",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1769",38,0.644067797,"R",1769,"D/FL","D/FL","D/FL",0,6.684611728,"800.0",1,"Paysage avec scène mytho.","Wouwerman, Philips",0,"n/a","Philippe Wouwermans","Folliot, Julien","D","D",0,"",8.25,6.5,53.625,NA,NA,"squ_rect",53.625,"bois","b","wood",0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1776",20,0.060422961,"R",1776,"D/FL","D/FL","I",1,5.768320996,"320.0",1,"(2) Château Saint Ange et Pont Erroto","Wittel, Gaspar van",0,"n/a","Gasparo Van Vitelle","Chariot, Antoine-Claude for Dazincourt, Joseph-Jean-Baptiste Albouy","DC","C",1,"D",22,37,814,NA,NA,"squ_rect",814,"toile","t","canvas",0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1778b",86,0.569536424,"L",1778,"D/FL","D/FL","D/FL",0,3.80666249,"45.0",1,"(2) Tableaux faisant pendants (mer & ville; rivere & ville)","Grevenbroeck Family",0,"n/a","Grewenbrock","Unknown","","",NA,"",8,12,96,NA,NA,"squ_rect",96,"cuivre","c","copper",0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1776",4,0.012084592,"R",1776,"I","I","I",0,5.318119994,"204.0",1,"Femme à mi-corps et 3 enfants","Sarto, Andrea del",0,"n/a","André del Sarte","Artaud","U","U",0,"",24,34,816,NA,NA,"squ_rect",816,"bois","b","wood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"L1764",26,0.426229508,"L",1764,"X","X","I",1,1.098612289,"3.0",1,"(4) La Géometrie; Herodias, deux Portraits d'hommes","after Reni, Guido",0,"after","(1) d'après Santerre; (2) d'après le Guide","Unknown","","",NA,"",NA,NA,NA,NA,NA,"squ_rect",NA,"toile","t","canvas",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1778b",101,0.668874172,"L",1778,"F","F","F",0,3.988984047,"54.0",1,"Phaedon & son pere","La Fosse, Charles de",0,"n/a","Charles de la Fosse","Unknown","","",NA,"",14,12,168,NA,NA,"squ_rect",168,"sur carton","ca","other",30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"R1767",108,0.339622642,"R",1767,"D/FL","D/FL","D/FL",0,7.215975003,"1,361.0",1,"Une Danse dans la Campagne; un homme assis sur un arbre joue de la flute: figures de neuf pouces de proportion","Rubens, Peter Paul",0,"n/a","Pierre Paul Rubens","Joullain, François","D","D",0,"",26,38,988,NA,NA,"squ_rect",988,"bois","b","wood",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1768",89,0.43627451,"L",1768,"F","F","F",1,4.094344562,"60.0",1,"NS apparait a la Vierge","Baugin, Lubin",0,"n/a","Lubin-Bagin","Unknown","","",NA,"",68,51,3468,NA,NA,"squ_rect",3468,"tableau","ta","",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1771",1841,10.76608187,"R",1771,"D/FL","D/FL","D/FL",0,3.96081317,"52.5",1,"(2) Voyageurs proche d'un port de mer; bataille","Vermeer van Haarlem II, Jan",0,"n/a","Vander Meer","Unknown","","",NA,"",10,14.25,142.5,NA,NA,"squ_rect",142.5,"toile","t","canvas",0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1776",12,0.036253776,"R",1776,"I","I","I",0,4.094344562,"60.0",1,"(2) Paysages avec figures","Anesi, Paolo",0,"n/a","Paulo Anezi","Colignon","D","D",0,"",11,13.75,151.25,NA,NA,"squ_rect",151.25,"bois","b","wood",0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1764",10,0.019920319,"R",1764,"I","I","I",0,3.688879454,"40.0",1,"Un Ane, qu'un homme charge de boi","attributed to Bassano (Jacopo da Ponte), Jacopo",0,"attributed to","attribué à Jacques Bassan","Satory","U","U",0,"",24,21.5,516,NA,NA,"squ_rect",516,"bois","b","wood",4,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1780",73,0.544776119,"P",1780,"D/FL","D/FL","D/FL",0,4.828313737,"125.0",1,"(2) Une Bataille; une halte","Huchtenburgh, Jan",0,"n/a","Jean Hugtemburg","Paillet, Alexandre-Joseph","E","E",0,"",14,29,406,NA,NA,"squ_rect",406,"tableau","ta","",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1769",18,0.305084746,"R",1769,"D/FL","D/FL","D/FL",0,7.090909822,"1,201.0",1,"(2) Agar présentée à Abraham/Agar renvoyée par Abraham","Dijk (P), Philip van",0,"n/a","P. V. Dyck","Valade, Jean for Ravanne, Miotte de","DC","C",1,"D",18.5,14.75,272.875,NA,NA,"squ_rect",272.875,"cuivre","c","copper",0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1776",120,0.362537764,"R",1776,"D/FL","D/FL","D/FL",0,7.575584652,"1,950.0",1,"Ruines et paysage, mulet, vacher","Breenbergh, Bartholomeus",0,"n/a","Bartholomé Bréenberg","Joullain Family","D","D",0,"",13,15.5,201.5,NA,NA,"squ_rect",201.5,"cuivre","c","copper",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1773",16,0.280701754,"R",1773,"D/FL","D/FL","D/FL",0,5.105945474,"165.0",1,"Des vaches & des moutons dans un paysage orné sur le devant de plusieurs plantes","Romeijn, Willem",0,"n/a","Guillaume Romain","Lebrun, Jean-Baptiste-Pierre","D","D",0,"",36,33,1188,NA,NA,"squ_rect",1188,"toile","t","canvas",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1768",64,0.31372549,"L",1768,"D/FL","D/FL","D/FL",1,3.871201011,"48.0",1,"Paysages et figures","Breh, van der",0,"n/a","J.E. Vanderbreh","Unknown","","",NA,"",22,30,660,NA,NA,"squ_rect",660,"toile","t","canvas",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1777",227,0.957805907,"R",1777,"F","F","F",0,8.342839804,"4,200.0",1,"Sultane sur son canapé","Fragonard (JH), Jean-Honoré",1,"n/a","Honoré Fragonard","Desmarets, J.","U","U",0,"",36,30,1080,NA,NA,"squ_rect",1080,"toile","t","canvas",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"R1767",255,0.801886792,"R",1767,"F","F","F",0,5.164785974,"175.0",1,"Un Tableau d'Arabesques avec deux figures","Watteau (A), Antoine",0,"n/a","Antoine Watteau","Laisseville, de","U","U",0,"",14,9.5,133,NA,NA,"squ_rect",133,"toile","t","canvas",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"R1776",127,0.383685801,"R",1776,"D/FL","D/FL","D/FL",0,5.736572297,"310.0",1,"Tobie et l'ange dans un paysage","Breenbergh, Bartholomeus",0,"n/a","Bartholomé Bréenberg","Lebrun, Jean-Baptiste-Pierre","D","D",0,"",10.5,16,168,NA,NA,"squ_rect",168,"bois (ovale)","b","wood",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"R1776",81,0.244712991,"R",1776,"D/FL","D/FL","D/FL",0,10.27505111,"29,000.0",1,"L'enfant  prodigue (autop.) dans paysage","Teniers II the Younger, David",0,"n/a","David Teniers","Chariot, Antoine-Claude for Blondel d'Azincourt, Berthélémy-Augustin","DC","C",1,"D",25,32.75,818.75,NA,NA,"squ_rect",818.75,"cuivre","c","copper",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"R1772",20,0.487804878,"R",1772,"D/FL","D/FL","D/FL",0,4.695924549,"109.5",1,"(2) Paysage & Figures","Teniers II the Younger, David",0,"n/a","David Tesniers","Maurice","U","U",0,"",5,6.5,32.5,NA,NA,"squ_rect",32.5,"bois","b","wood",0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1780",8,0.059701493,"P",1780,"F","F","F",0,5.062595033,"158.0",1,"(2) l'Entrée d'une Princesse; un Camp","Martin the Elder (Martin des Batailles), Jean-Baptiste",0,"n/a","Le vieux Martin","Riboulet","U","U",0,"",30,54,1620,NA,NA,"squ_rect",1620,"-","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"L1778b",51,0.337748344,"L",1778,"D/FL","D/FL","D/FL",0,4.564348191,"96.0",1,"Masses d'arbres & de rochers","Pynacker, Adam",0,"n/a","Adam Pynacker","Unknown","","",NA,"",15.5,12,186,NA,NA,"squ_rect",186,"toile collée sur bois","t","canvas",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1764",55,0.901639344,"L",1764,"F","F","F",1,3.17805383,"24.0",1,"(2) l'enlévement d'Europe; la Mort de Tancrede","Loir, Nicolas-Pierre",0,"n/a","Nicolas Loir","Unknown","","",NA,"",12.5,16,200,NA,NA,"squ_rect",200,"toile","t","canvas",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"J1775",7,0.35,"J",1775,"X","X","F",1,2.890371758,"18.0",1,"Le portrait de M. le Duc d'Antin","copy after Rigaud, Hyacinthe",0,"copy after","copie d'après H. Rigaud","La Brousse","U","U",0,"",54,42,2268,NA,NA,"squ_rect",2268,"","","",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"R1767",67,0.210691824,"R",1767,"I","I","I",0,5.298317367,"200.0",1,"(2) Deux bustes de femmes extrêmement gracieuses","Carriera, Rosalba",0,"n/a","Rosalba Carriera","Boileau, Nicolas-François-Jacques","D","D",0,"",16,12.5,200,NA,NA,"squ_rect",200,"","","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"R1767",165,0.518867925,"R",1767,"D/FL","D/FL","D/FL",0,8.702842538,"6,020.0",1,"Une Malade assise dans son fauteuil","Metsu, Gabriel",0,"n/a","Gabriel Metzu","Basan, Pierre-François for Ekaterina II, empress of Russia","DC","C",1,"D",22.5,17.25,388.125,NA,NA,"squ_rect",388.125,"toile","t","canvas",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"R1764",20,0.039840637,"R",1764,"I","I","I",0,6.109247583,"450.0",1,"(2) l'un représente une Pastorale, composée de deux figures de belle proportion; l'autre, Narcis qui se regarde dans l'eau","Mola (PF), Pier Francesco",0,"n/a","Pierre François Molla","Colins, François-Louis","D","D",0,"",45,33,1485,NA,0,"squ_rect",1485,"toile","t","canvas",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"R1773",30,0.526315789,"R",1773,"D/FL","D/FL","D/FL",0,6.309918278,"550.0",1,"Une femme la verre à la main, à côté d'un homme qui tient un pot sur une table sur laquelle sont un plat, une pipe & un réchaud. ","Ostade (A), Adriaen van",0,"n/a","Adrien van Ostade","Lebrun, Jean-Baptiste-Pierre","D","D",0,"",7.75,7,54.25,NA,NA,"squ_rect",54.25,"bois","b","wood",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P1780",100,0.746268657,"P",1780,"X","X","D/FL",1,3.526360525,"34.0",1,"(2) Manége; un Chariot embourbé","in the genre of Wouwerman, Philips",0,"in the genre of","dans le genre de Wouvermans","Maltais","U","U",0,"",17,14,238,NA,NA,"squ_rect",238,"tableau","ta","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"R1777",165,0.696202532,"R",1777,"F","F","F",0,9.61580548,"15,000.0",1,"Fête en l'honneur de Pan","Poussin, Nicolas",0,"n/a","Nicolas Poussin","Lebrun, Jean-Baptiste-Pierre","D","D",0,"",36.5,51.5,1879.75,NA,NA,"squ_rect",1879.75,"toile","t","canvas",7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"R1770",61,0.4765625,"R",1770,"F","F","F",0,3.871201011,"48.0",1,"Une vendange","Feret (JB), Jean Baptiste",0,"n/a","Baptiste Ferret","Pfalz-Zweibrücken, Christian IV, Herzog von","C","C",0,"",13,16.5,214.5,NA,NA,"squ_rect",214.5,"bois","b","wood",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1767",134,0.421383648,"R",1767,"D/FL","D/FL","D/FL",0,5.480638923,"240.0",1,"La Guérison du fils de Jayre","Rijn, Rembrandt Harmenszoon van",0,"n/a","Rembrandt van Ryn","Restout","U","U",0,"",10,12.75,127.5,NA,NA,"squ_rect",127.5,"bois","b","wood",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1776",274,0.827794562,"R",1776,"F","F","F",0,3.96081317,"52.5",1,"(2) paysages","Crepin",0,"n/a","M. Crepin","Colignon","D","D",0,"",4,6,24,NA,NA,"squ_rect",24,"n/a","n/a","",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1773",20,0.350877193,"R",1773,"D/FL","D/FL","D/FL",0,3.891820298,"49.0",1,"Une vue de mer & des côteaux. Il y a sur le premier plan un terrein où sont plusieurs figures, des bagages & un chariot.","attributed to Pynacker, Adam",0,"attributed to","attribué à Adam Pinaker","Lebrun, Jean-Baptiste-Pierre","D","D",0,"",21,30,630,NA,NA,"squ_rect",630,"bois","b","wood",0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"L1778b",128,0.847682119,"L",1778,"F","F","F",0,7.901007052,"2,700.0",1,"Ceremonie de la position de la pierre de la nouvelle Eglise de Sainte-Genevieve","Machy, Pierre-Antoine de",1,"n/a","Pierre-Antoine de Machy","Basan, Pierre-François","D","D",0,"",24.5,48,1176,NA,NA,"squ_rect",1176,"toile","t","canvas",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"R1773",6,0.105263158,"R",1773,"D/FL","D/FL","D/FL",0,6.131226489,"460.0",1,"Une assemblée des Dieux","Poelenberch, Cornelis van",0,"n/a","Corneille Poelemburg","Paillet, Alexandre-Joseph","D","D",0,"",9,11,99,NA,NA,"squ_rect",99,"bois","b","wood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"R1776",183,0.552870091,"R",1776,"D/FL","D/FL","D/FL",0,4.350277936,"77.5",1,"(2) Fille -vielle / Garçon-flûte","Krause Family",0,"n/a","Craus","Lebrun, Jean-Baptiste-Pierre for Poullain, Antoine","DC","C",1,"D",14.5,12,174,NA,NA,"squ_rect",174,"toile","t","canvas",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"J1768",75,0.72815534,"J",1768,"F","F","F",0,4.691347882,"109.0",1,"Sainte Elisabeth présentant à l'Enfant Jesus","Stella, Jacques",0,"n/a","J. Stella","Chiquet de Champs-Renard","C","C",0,"",58,43,2494,NA,NA,"squ_rect",2494,"toile","t","canvas",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1764",14,0.027888446,"R",1764,"I","I","I",0,2.564949357,"13.0",1,"La représentation de l'Arc de Constantin; tableau enrichi de figures","Cerquozzi, Michelangelo",0,"n/a","Michel-Ange Cerquozzi","Unknown","","",NA,"",26,35,910,NA,NA,"squ_rect",910,"toile","t","canvas",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"L1774",65,0.485074627,"R",1774,"D/FL","D/FL","D/FL",0,6.634633358,"761.0",1,"Simon d'Anthène avec nymphes Diane","Mieris (W), Willem van",0,"n/a","Willem van Mieris","Rémy, Pierre for Boileau, Nicolas-François-Jacques","DD","D",1,"D",24,20,480,NA,NA,"squ_rect",480,"bois","b","wood",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"R1776",50,0.151057402,"R",1776,"D/FL","D/FL","D/FL",0,5.519458915,"249.5",1,"(2) campagnes avec Repos en Egypte / Tobie et l'ange","Poelenberch, Cornelis van",0,"n/a","Cornille Poelenburg","Rousseau for Blondel d'Azincourt, Berthélémy-Augustin","DC","C",1,"D",7,9,63,NA,NA,"squ_rect",63,"cuivre","c","copper",0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1764",27,0.442622951,"L",1764,"X","X","F",1,2.788092909,"16.3",1,"(4) Christ en Croix; Vierge & l'Enfant Jesus; fruits & animaux; Sainte Famille de la Savonerie","after Le Brun, Charles",0,"after","(1) d'après le Brun; (2) Dorigny; (4) d'après Vouet","Unknown","","",NA,"",NA,NA,NA,NA,NA,"squ_rect",NA,"toile","t","canvas",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1771",1849,10.8128655,"R",1771,"F","F","F",0,5.857933154,"350.0",1,"Portrait","Petitot, Jean",0,"n/a","Petitot","Unknown","","",NA,"",NA,NA,NA,NA,NA,"squ_rect",NA,"n/a","n/a","",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"L1778",46,0.73015873,"L",1778,"F","F","F",0,6.053264948,"425.5",1,"(2) Sujets gais & plaisans","Bénard, Jean Baptiste",1,"n/a","Bénard","Paillet, Alexandre-Joseph","D","D",0,"",5.25,6.75,35.4375,NA,NA,"squ_rect",35.4375,"bois","b","wood",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"R1767",219,0.688679245,"R",1767,"F","F","F",0,6.9117473,"1,004.0",1,"Un Repos en Egypte","Gellée (Lorrain), Claude; Lauri, F",0,"n/a","Claude Gelée, dit Le Lorrain","Renouard, abbé","B","B",0,"",NA,NA,NA,NA,NA,"",NA,"","","",0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"J1768",67,0.650485437,"J",1768,"I","I","F",1,1.609437912,"5.0",1,"Mars déshabillé par les Amours","Primaticcio, Francesco",0,"n/a","le Primatice","Lebrun, Pierre","D","D",0,"",23,20,460,NA,NA,"squ_rect",460,"bois","b","wood",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"R1771",39,0.228070175,"R",1771,"F","F","F",0,4.290459441,"73.0",1,"Bataille","Courtois (Il Borgognone), Jacques",0,"n/a","Giaconom Cotesse, dit le Bourguignon","Folliott, Julien","D","D",0,"",11.25,21.75,244.6875,NA,NA,"squ_rect",244.6875,"n/a","n/a","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"L1768",126,0.617647059,"L",1768,"F","F","F",1,2.197224577,"9.0",1,"Paysage et figures","Le Clerc, Sébastien",0,"n/a","Lecler","Unknown","","",NA,"",24,50,1200,NA,NA,"squ_rect",1200,"toile","t","canvas",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"J1777",41,0.854166667,"J",1777,"F","F","F",0,1.733423892,"5.7",1,"(3) Etude tête de femme","Leprince (JB), Jean-Baptiste",1,"n/a","J.B. le Prince","Unknown","","",NA,"",NA,NA,NA,NA,NA,"squ_rect",NA,"huile sur papier","h","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"R1776",243,0.734138973,"R",1776,"F","F","F",0,7.244227516,"1,400.0",1,"Ubalde & le chevalier Danois","Roland de la Porte, Henri Horace",1,"n/a","Roland de la Porte","Langlier, Jacques","D","D",0,"",48,72,3456,NA,NA,"squ_rect",3456,"toile","t","canvas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"R1770",63,0.4921875,"R",1770,"F","F","F",0,3.891820298,"49.0",1,"(2) 2 chiens arretant des faisans","Desportes (AF), Alexandre-François",0,"n/a","François Desportes","Rémy, Pierre for Blondel d'Azincourt, Berthélémy-Augustin","EC","C",1,"E",10,14.5,145,NA,NA,"squ_rect",145,"toile","t","canvas",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"P1780",16,0.119402985,"P",1780,"F","F","F",0,5.129898715,"169.0",1,"Une marine","Volaire, Pierre-Jacques",0,"n/a","Le Chevalier Voller","Devouge, Mathieu-François-Louis","D","D",0,"",18,24,432,NA,NA,"squ_rect",432,"-","","",0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1775",75,1,"P",1775,"F","F","F",1,3.401197382,"30.0",1,"(10) Dix petits tableaux peints à l'huile, par Machy ; ils représentent des ruines & monumens d'architecture","Machy, Pierre-Antoine de",1,"n/a","Machy","Quenet","D","D",0,"",NA,NA,NA,NA,NA,"",NA,"","","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"R1776",205,0.619335347,"R",1776,"F","F","F",0,7.047517221,"1,150.0",1,"(2) Architecture, paysage, figures","Patel I, Pierre",0,"n/a","Pierre Patel, le pere","Joullain Family","D","D",0,"",11,16,176,NA,NA,"squ_rect",176,"cuivre","c","copper",0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1767",180,0.566037736,"R",1767,"D/FL","D/FL","D/FL",0,7.003065459,"1,100.0",1,"Junon, qui donne à Argus la garde de Io.","Berchem, Nicolaes Pieterszoon",0,"n/a","Nicolas Berghem","Villeminot","U","U",0,"",8.5,11.33,96.305,NA,NA,"squ_rect",96.305,"bois","b","wood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"L1778b",53,0.350993377,"L",1778,"D/FL","D/FL","D/FL",0,3.496507561,"33.0",1,"Chien prés de sa niche","Potter (Pa), Paulus",0,"n/a","Paul Potter","Unknown","","",NA,"",6.5,8.5,55.25,NA,NA,"squ_rect",55.25,"toile ","t","canvas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
